composer,title,split,performer,model,recording,melody_kor_corr_64,bass_kor_corr_64,ratio_kor_corr_64,melody_kor_corr_127,bass_kor_corr_127,ratio_kor_corr_127
Bach,Fugue_bwv_848,train,Lin04M,T5,disklavier,0.0032,0.1173,0.0465,0.0032,0.1173,0.0465
Bach,Fugue_bwv_848,train,Lin04M,oaf,disklavier,0.1715,0.2838,0.279,0.1715,0.2838,0.279
Bach,Fugue_bwv_848,train,Lin04M,kong,disklavier,0.1167,0.2926,0.2709,0.1175,0.2926,0.2718
Bach,Fugue_bwv_848,train,Lou01M,kong,maestro,0.6309,0.8364,0.694,0.6316,0.8411,0.6936
Bach,Fugue_bwv_848,train,Lou01M,T5,maestro,0.2053,0.3573,0.2133,0.2053,0.3573,0.2133
Bach,Fugue_bwv_848,train,Lou01M,oaf,maestro,0.4956,0.6125,0.5371,0.4956,0.6125,0.5371
Bach,Fugue_bwv_848,train,Lou01M,kong,disklavier,0.0017,0.2898,0.2336,0.0026,0.2906,0.2334
Bach,Fugue_bwv_848,train,Lou01M,T5,disklavier,0.0027,0.0748,0.0179,0.0027,0.0748,0.0179
Bach,Fugue_bwv_848,train,Lou01M,oaf,disklavier,0.0065,0.2604,0.2099,0.0065,0.2604,0.2099
Bach,Fugue_bwv_848,train,MiyashitaM01M,oaf,maestro,0.9357,0.7059,0.9651,0.9357,0.7059,0.9651
Bach,Fugue_bwv_848,train,MiyashitaM01M,T5,maestro,0.322,0.4048,0.5596,0.322,0.4048,0.5596
Bach,Fugue_bwv_848,train,MiyashitaM01M,kong,maestro,0.9533,0.9056,0.9803,0.9533,0.9072,0.9804
Bach,Fugue_bwv_848,train,MiyashitaM01M,kong,disklavier,0.1885,0.3917,0.4297,0.1885,0.3927,0.4298
Bach,Fugue_bwv_848,train,MiyashitaM01M,T5,disklavier,0.0269,0.0089,0.0397,0.0269,0.0089,0.0397
Bach,Fugue_bwv_848,train,MiyashitaM01M,oaf,disklavier,0.1645,0.3972,0.3897,0.1645,0.3972,0.3897
Bach,Fugue_bwv_848,train,Mizumoto03M,kong,maestro,0.6738,0.8396,0.7437,0.6751,0.8505,0.744
Bach,Fugue_bwv_848,train,Mizumoto03M,T5,maestro,0.2197,0.8101,0.2651,0.2197,0.8101,0.2651
Bach,Fugue_bwv_848,train,Mizumoto03M,oaf,maestro,0.5962,0.7082,0.7301,0.5962,0.7082,0.7301
Bach,Fugue_bwv_848,train,Mizumoto03M,oaf,disklavier,0.157,0.4171,0.4449,0.157,0.4171,0.4449
Bach,Fugue_bwv_848,train,Mizumoto03M,T5,disklavier,-0.0147,0.2511,0.0918,-0.0147,0.2511,0.0918
