composer,title,split,performer,model,recording,melody_ioi_corr,acc_ioi_corr,ratio_ioi_corr,melody_ioi_dtw_dist,acc_ioi_dtw_dist,melody_ioi_hist_kld,acc_ioi_hist_kld
Bach,Fugue_bwv_848,train,Mizumoto03M,oaf,disklavier,0.0921,0.1613,0.0,185.0,337.0,0.7903,5.9979
Bach,Fugue_bwv_848,train,SunY01M,T5,maestro,0.0363,0.0879,0.0,394.0,602.0,0.169,0.1494
Bach,Fugue_bwv_848,train,SunY01M,oaf,maestro,0.2824,0.005,0.0,186.0,328.0,0.8616,6.4656
Bach,Fugue_bwv_848,train,SunY01M,kong,maestro,0.4919,-0.0989,0.0,129.0,270.0,0.826,0.2169
Bach,Fugue_bwv_848,train,SunY01M,kong,disklavier,0.2118,0.1851,0.0,146.0,238.0,0.7136,5.3232
Bach,Fugue_bwv_848,train,SunY01M,T5,disklavier,0.0673,0.1719,0.0,293.0,632.0,1.0065,1.29
Bach,Fugue_bwv_848,train,SunY01M,oaf,disklavier,0.0146,0.1775,0.0,182.0,347.0,0.9819,6.5262
Bach,Fugue_bwv_848,train,Zhou01M,T5,maestro,0.0328,0.1742,0.0,923.0,1719.0,0.3044,0.1446
Bach,Fugue_bwv_848,train,Zhou01M,oaf,maestro,0.6179,0.0296,0.0,224.0,353.0,0.4939,6.0124
Bach,Fugue_bwv_848,train,Zhou01M,kong,maestro,0.4631,0.2192,0.0,114.0,199.0,0.7235,0.2619
Bach,Fugue_bwv_848,train,Zhou01M,kong,disklavier,0.1325,0.1629,0.0,142.0,253.0,0.6225,2.7758
Bach,Fugue_bwv_848,train,Zhou01M,oaf,disklavier,0.1152,0.1851,0.0,211.0,375.0,0.8818,5.8097
Bach,Fugue_bwv_848,train,Zhou01M,T5,disklavier,0.1152,0.1649,0.0,441.0,733.0,0.5798,1.6151
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,T5,maestro,0.1266,0.4338,0.0,1437.0,5408.0,0.0625,0.1222
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,kong,maestro,0.7141,0.5577,0.0,852.0,2021.0,0.0915,0.111
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,oaf,maestro,0.8299,0.5347,0.0,1111.0,2884.0,3.1155,6.4275
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,oaf,disklavier,0.1743,0.1733,0.0,1193.0,3833.0,3.0836,6.3167
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,T5,disklavier,-0.0315,0.1344,0.0,2263.0,8607.0,0.686,0.4433
