composer,title,split,performer,model,recording,p_nov,r_nov,f_nov
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,oaf,disklavier,0.3308,0.3123,0.3213
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,T5,disklavier,0.2667,0.2692,0.2679
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,kong,disklavier,0.6224,0.6253,0.6238
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,T5,maestro,0.7237,0.7017,0.7125
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,kong,maestro,0.8787,0.8709,0.8748
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,oaf,maestro,0.5838,0.5586,0.5709
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,oaf,disklavier,0.3248,0.3051,0.3146
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,kong,disklavier,0.3792,0.3838,0.3815
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,T5,disklavier,0.2511,0.2581,0.2546
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,T5,maestro,0.6829,0.6642,0.6734
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,oaf,maestro,0.5389,0.5166,0.5275
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,kong,maestro,0.8223,0.8114,0.8168
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,T5,disklavier,0.3068,0.3184,0.3125
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,oaf,disklavier,0.396,0.374,0.3846
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,kong,disklavier,0.4961,0.507,0.5015
Bach,Fugue_bwv_848,train,Denisova06M,kong,maestro,0.9509,0.9456,0.9483
Bach,Fugue_bwv_848,train,Denisova06M,oaf,maestro,0.8047,0.7929,0.7987
Bach,Fugue_bwv_848,train,Denisova06M,T5,maestro,0.1139,0.1123,0.1131
Bach,Fugue_bwv_848,train,Denisova06M,T5,disklavier,0.844,0.8605,0.8522
Bach,Fugue_bwv_848,train,Denisova06M,kong,disklavier,0.9157,0.9163,0.916
Bach,Fugue_bwv_848,train,Denisova06M,oaf,disklavier,0.6312,0.6255,0.6284
Bach,Fugue_bwv_848,train,Lin04M,oaf,maestro,0.8031,0.7874,0.7952
Bach,Fugue_bwv_848,train,Lin04M,T5,maestro,0.0282,0.028,0.0281
Bach,Fugue_bwv_848,train,Lin04M,kong,maestro,0.9313,0.9287,0.93
Bach,Fugue_bwv_848,train,Lin04M,T5,disklavier,0.8038,0.8224,0.813
Bach,Fugue_bwv_848,train,Lin04M,oaf,disklavier,0.681,0.6748,0.6779
Bach,Fugue_bwv_848,train,Lin04M,kong,disklavier,0.9019,0.9063,0.9041
Bach,Fugue_bwv_848,train,Lou01M,kong,maestro,0.9434,0.9414,0.9424
Bach,Fugue_bwv_848,train,Lou01M,T5,maestro,0.0351,0.0349,0.035
Bach,Fugue_bwv_848,train,Lou01M,oaf,maestro,0.7837,0.776,0.7798
Bach,Fugue_bwv_848,train,Lou01M,kong,disklavier,0.8682,0.8737,0.871
Bach,Fugue_bwv_848,train,Lou01M,T5,disklavier,0.7439,0.7683,0.7559
Bach,Fugue_bwv_848,train,Lou01M,oaf,disklavier,0.8491,0.8444,0.8467
Bach,Fugue_bwv_848,train,MiyashitaM01M,oaf,maestro,0.8622,0.8526,0.8573
Bach,Fugue_bwv_848,train,MiyashitaM01M,T5,maestro,0.0812,0.0807,0.0809
Bach,Fugue_bwv_848,train,MiyashitaM01M,kong,maestro,0.9784,0.9743,0.9763
Bach,Fugue_bwv_848,train,MiyashitaM01M,kong,disklavier,0.9059,0.911,0.9085
Bach,Fugue_bwv_848,train,MiyashitaM01M,T5,disklavier,0.7766,0.8025,0.7893
Bach,Fugue_bwv_848,train,MiyashitaM01M,oaf,disklavier,0.6704,0.6662,0.6683
Bach,Fugue_bwv_848,train,Mizumoto03M,kong,maestro,0.9659,0.9632,0.9645
Bach,Fugue_bwv_848,train,Mizumoto03M,T5,maestro,0.0547,0.0542,0.0545
Bach,Fugue_bwv_848,train,Mizumoto03M,oaf,maestro,0.8034,0.795,0.7992
Bach,Fugue_bwv_848,train,Mizumoto03M,oaf,disklavier,0.6505,0.6428,0.6466
Bach,Fugue_bwv_848,train,Mizumoto03M,T5,disklavier,0.7338,0.7491,0.7414
Bach,Fugue_bwv_848,train,Mizumoto03M,kong,disklavier,0.836,0.8464,0.8412
Bach,Fugue_bwv_848,train,SunY01M,kong,maestro,0.965,0.9623,0.9636
Bach,Fugue_bwv_848,train,SunY01M,oaf,maestro,0.796,0.7883,0.7921
Bach,Fugue_bwv_848,train,SunY01M,T5,maestro,0.0253,0.0252,0.0252
Bach,Fugue_bwv_848,train,SunY01M,kong,disklavier,0.8826,0.8882,0.8854
Bach,Fugue_bwv_848,train,SunY01M,oaf,disklavier,0.6216,0.6164,0.6189
Bach,Fugue_bwv_848,train,SunY01M,T5,disklavier,0.6099,0.673,0.6399
Bach,Fugue_bwv_848,train,Zhou01M,kong,maestro,0.9685,0.9678,0.9682
Bach,Fugue_bwv_848,train,Zhou01M,oaf,maestro,0.8249,0.8203,0.8226
Bach,Fugue_bwv_848,train,Zhou01M,T5,maestro,0.0871,0.0867,0.0869
Bach,Fugue_bwv_848,train,Zhou01M,T5,disklavier,0.8038,0.8336,0.8184
Bach,Fugue_bwv_848,train,Zhou01M,oaf,disklavier,0.6104,0.607,0.6087
Bach,Fugue_bwv_848,train,Zhou01M,kong,disklavier,0.9107,0.9203,0.9155
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,T5,maestro,0.8894,0.864,0.8765
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,kong,maestro,0.8901,0.8816,0.8858
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,oaf,maestro,0.7982,0.7798,0.7889
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,T5,disklavier,0.6605,0.6637,0.6621
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,kong,disklavier,0.7625,0.7612,0.7619
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,oaf,disklavier,0.6715,0.6548,0.6631
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,T5,maestro,0.8912,0.8679,0.8794
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,kong,maestro,0.9117,0.9092,0.9105
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,oaf,maestro,0.5572,0.5486,0.5529
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,oaf,disklavier,0.7228,0.7135,0.7181
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,kong,disklavier,0.7609,0.7706,0.7657
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,T5,disklavier,0.6448,0.6714,0.6578
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,T5,maestro,0.9124,0.8964,0.9043
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,oaf,maestro,0.7667,0.7558,0.7612
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,kong,maestro,0.9416,0.9366,0.9391
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,oaf,disklavier,0.6211,0.6047,0.6128
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,kong,disklavier,0.7875,0.7953,0.7914
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,T5,disklavier,0.5805,0.6268,0.6027
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,T5,maestro,0.8979,0.8768,0.8872
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,oaf,maestro,0.6757,0.6594,0.6674
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,kong,maestro,0.9115,0.9018,0.9066
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,oaf,disklavier,0.2,0.1931,0.1965
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,kong,disklavier,0.6944,0.6957,0.695
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,T5,disklavier,0.5622,0.5837,0.5728
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,kong,maestro,0.9032,0.8972,0.9002
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,oaf,maestro,0.6172,0.607,0.6121
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,T5,maestro,0.8455,0.8306,0.838
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,oaf,disklavier,0.5451,0.5321,0.5385
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,T5,disklavier,0.613,0.6431,0.6277
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,kong,disklavier,0.7885,0.7977,0.7931
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,oaf,maestro,0.6148,0.6053,0.61
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,kong,maestro,0.9025,0.898,0.9003
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,T5,maestro,0.8819,0.859,0.8703
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,kong,disklavier,0.7457,0.7526,0.7492
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,oaf,disklavier,0.7135,0.6963,0.7048
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,T5,disklavier,0.5998,0.6159,0.6077
Beethoven,Piano_Sonatas_21-1,train,Song03M,oaf,maestro,0.5513,0.545,0.5481
Beethoven,Piano_Sonatas_21-1,train,Song03M,kong,maestro,0.8681,0.8648,0.8665
Beethoven,Piano_Sonatas_21-1,train,Song03M,T5,maestro,0.8606,0.8503,0.8555
Beethoven,Piano_Sonatas_21-1,train,Song03M,oaf,disklavier,0.757,0.7377,0.7472
Beethoven,Piano_Sonatas_21-1,train,Song03M,kong,disklavier,0.7573,0.7715,0.7644
Beethoven,Piano_Sonatas_21-1,train,Song03M,T5,disklavier,0.5617,0.6157,0.5875
Beethoven,Piano_Sonatas_21-1,train,SunY02M,T5,maestro,0.871,0.8618,0.8663
Beethoven,Piano_Sonatas_21-1,train,SunY02M,oaf,maestro,0.7125,0.7044,0.7084
Beethoven,Piano_Sonatas_21-1,train,SunY02M,kong,maestro,0.9476,0.9444,0.946
Beethoven,Piano_Sonatas_21-1,train,SunY02M,oaf,disklavier,0.5281,0.513,0.5204
Beethoven,Piano_Sonatas_21-1,train,SunY02M,kong,disklavier,0.7825,0.7942,0.7883
Beethoven,Piano_Sonatas_21-1,train,SunY02M,T5,disklavier,0.5851,0.6216,0.6028
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,kong,maestro,0.8473,0.835,0.8411
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,T5,maestro,0.8198,0.7912,0.8053
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,oaf,maestro,0.5116,0.4913,0.5012
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,oaf,disklavier,0.6224,0.5993,0.6106
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,T5,disklavier,0.5628,0.5746,0.5686
Beethoven,Piano_Sonatas_21-1,train,Tetzloff05M,kong,disklavier,0.7091,0.7097,0.7094
Beethoven,Piano_Sonatas_21-1,train,ToA02M,oaf,maestro,0.847,0.8406,0.8438
Beethoven,Piano_Sonatas_21-1,train,ToA02M,T5,maestro,0.9125,0.9013,0.9069
Beethoven,Piano_Sonatas_21-1,train,ToA02M,kong,maestro,0.9478,0.9448,0.9463
Beethoven,Piano_Sonatas_21-1,train,ToA02M,kong,disklavier,0.8066,0.8105,0.8085
Beethoven,Piano_Sonatas_21-1,train,ToA02M,oaf,disklavier,0.2291,0.2243,0.2267
Beethoven,Piano_Sonatas_21-1,train,ToA02M,T5,disklavier,0.6646,0.691,0.6775
Beethoven,Piano_Sonatas_21-1,train,TongB03M,kong,maestro,0.9414,0.9341,0.9378
Beethoven,Piano_Sonatas_21-1,train,TongB03M,oaf,maestro,0.8149,0.8033,0.8091
Beethoven,Piano_Sonatas_21-1,train,TongB03M,T5,maestro,0.8674,0.8524,0.8598
Beethoven,Piano_Sonatas_21-1,train,TongB03M,T5,disklavier,0.5474,0.5737,0.5602
Beethoven,Piano_Sonatas_21-1,train,TongB03M,kong,disklavier,0.6903,0.6927,0.6915
Beethoven,Piano_Sonatas_21-1,train,TongB03M,oaf,disklavier,0.6136,0.5982,0.6058
Beethoven,Piano_Sonatas_21-1,train,WangA02M,T5,maestro,0.911,0.8927,0.9017
Beethoven,Piano_Sonatas_21-1,train,WangA02M,kong,maestro,0.9439,0.9402,0.9421
Beethoven,Piano_Sonatas_21-1,train,WangA02M,oaf,maestro,0.6542,0.6473,0.6508
Beethoven,Piano_Sonatas_21-1,train,WangA02M,oaf,disklavier,0.4191,0.409,0.414
Beethoven,Piano_Sonatas_21-1,train,WangA02M,kong,disklavier,0.7395,0.7413,0.7404
Beethoven,Piano_Sonatas_21-1,train,WangA02M,T5,disklavier,0.6596,0.6672,0.6634
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,kong,maestro,0.9368,0.9341,0.9354
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,oaf,maestro,0.7674,0.7545,0.7609
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,T5,maestro,0.8339,0.8211,0.8274
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,T5,disklavier,0.5611,0.5963,0.5782
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,oaf,disklavier,0.6795,0.6643,0.6718
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,kong,disklavier,0.7973,0.809,0.8031
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,T5,maestro,0.8977,0.8826,0.8901
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,oaf,maestro,0.4731,0.4661,0.4696
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,kong,maestro,0.913,0.9075,0.9102
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,kong,disklavier,0.6747,0.6759,0.6753
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,oaf,disklavier,0.6191,0.6017,0.6103
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,T5,disklavier,0.557,0.5774,0.567
Chopin,Scherzos_31,train,ChenW04M,kong,maestro,0.9121,0.8899,0.9009
Chopin,Scherzos_31,train,ChenW04M,oaf,maestro,0.6663,0.6334,0.6494
Chopin,Scherzos_31,train,ChenW04M,T5,maestro,0.7355,0.7041,0.7194
Chopin,Scherzos_31,train,ChenW04M,oaf,disklavier,0.5972,0.5526,0.574
Chopin,Scherzos_31,train,ChenW04M,T5,disklavier,0.3419,0.3738,0.3571
Chopin,Scherzos_31,train,ChenW04M,kong,disklavier,0.6588,0.6576,0.6582
Chopin,Scherzos_31,train,HuNY08M,oaf,maestro,0.7307,0.7064,0.7183
Chopin,Scherzos_31,train,HuNY08M,kong,maestro,0.9353,0.9218,0.9285
Chopin,Scherzos_31,train,HuNY08M,T5,maestro,0.7838,0.7589,0.7712
Chopin,Scherzos_31,train,HuNY08M,T5,disklavier,0.4056,0.4222,0.4137
Chopin,Scherzos_31,train,HuNY08M,kong,disklavier,0.718,0.7154,0.7167
Chopin,Scherzos_31,train,HuNY08M,oaf,disklavier,0.6584,0.6189,0.638
Chopin,Scherzos_31,train,Jussow11M,kong,maestro,0.9097,0.8956,0.9026
Chopin,Scherzos_31,train,Jussow11M,oaf,maestro,0.6347,0.5967,0.6151
Chopin,Scherzos_31,train,Jussow11M,T5,maestro,0.7321,0.7045,0.718
Chopin,Scherzos_31,train,Jussow11M,kong,disklavier,0.6897,0.682,0.6858
Chopin,Scherzos_31,train,Jussow11M,T5,disklavier,0.3946,0.3953,0.395
Chopin,Scherzos_31,train,Jussow11M,oaf,disklavier,0.5721,0.5253,0.5477
Chopin,Scherzos_31,train,LeeN04M,T5,maestro,0.7611,0.7389,0.7499
Chopin,Scherzos_31,train,LeeN04M,oaf,maestro,0.7016,0.6784,0.6898
Chopin,Scherzos_31,train,LeeN04M,kong,maestro,0.9246,0.9108,0.9176
Chopin,Scherzos_31,train,LeeN04M,T5,disklavier,0.3483,0.3746,0.361
Chopin,Scherzos_31,train,LeeN04M,kong,disklavier,0.6919,0.697,0.6944
Chopin,Scherzos_31,train,LeeN04M,oaf,disklavier,0.6155,0.5822,0.5984
Chopin,Scherzos_31,train,LinTami06M,T5,maestro,0.7333,0.6983,0.7154
Chopin,Scherzos_31,train,LinTami06M,oaf,maestro,0.6728,0.6266,0.6489
Chopin,Scherzos_31,train,LinTami06M,kong,maestro,0.8908,0.8665,0.8785
Chopin,Scherzos_31,train,LinTami06M,kong,disklavier,0.6684,0.6689,0.6686
Chopin,Scherzos_31,train,LinTami06M,oaf,disklavier,0.5354,0.5076,0.5212
Chopin,Scherzos_31,train,LinTami06M,T5,disklavier,0.4197,0.4234,0.4215
Chopin,Scherzos_31,train,LuoJ12M,oaf,maestro,0.6951,0.6797,0.6873
Chopin,Scherzos_31,train,LuoJ12M,kong,maestro,0.9207,0.9146,0.9177
Chopin,Scherzos_31,train,LuoJ12M,T5,maestro,0.751,0.7356,0.7432
