composer,title,split,model,recording,cd_corr,cm_corr,ts_corr,reverb,snr
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.7988,0.2231,0.2239,l,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,-0.0605,0.078,-0.1585,l,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.3567,0.1237,0.2497,l,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.3785,0.1255,-0.0552,l,6
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.1321,0.1511,0.0689,norev,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0088,0.1261,0.1302,norev,nonoise
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.048,0.108,0.18,norev,nonoise
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0466,0.0339,0.04,norev,24
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.0565,0.0701,0.1177,norev,24
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0128,0.1344,0.1664,norev,24
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.019,0.0387,-0.0726,norev,12
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.0221,0.1333,0.1941,norev,12
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0241,0.1173,0.0627,norev,12
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0596,0.0948,-0.0209,norev,6
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.0767,-0.0317,0.0089,norev,6
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,-0.0008,0.0899,0.1126,norev,6
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.0649,-0.0172,0.1375,s,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0023,0.1028,0.1381,s,nonoise
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0509,0.093,0.1219,s,nonoise
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.1452,0.0176,0.1926,s,24
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.0795,0.0473,0.0746,s,24
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0109,0.1059,0.1517,s,24
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0996,-0.0322,-0.2162,s,12
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.0119,0.0451,0.0717,s,12
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,-0.0089,0.1113,0.1315,s,12
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.0316,0.0052,0.1712,s,6
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.0233,-0.0016,-0.036,s,6
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0791,0.0628,0.04,s,6
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.2411,0.0048,-0.248,m,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0996,0.1636,0.0244,m,nonoise
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0302,0.1078,0.1951,m,nonoise
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.2893,0.0397,-0.2579,m,24
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.0599,0.1349,0.1646,m,24
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0723,0.1212,0.1766,m,24
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.1713,-0.0945,-0.2905,m,12
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0319,-0.0317,-0.0591,m,12
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0608,0.0916,0.1626,m,12
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.095,-0.0392,0.1355,m,6
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0025,-0.0108,-0.0281,m,6
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.2262,0.0247,-0.0382,m,6
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.3239,-0.1031,0.1697,l,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.4349,-0.0606,-0.126,l,nonoise
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0518,0.1498,0.07,l,nonoise
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,-0.0113,0.0699,0.1668,l,24
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0488,0.068,0.0208,l,24
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0427,0.0562,0.0774,l,24
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.1705,-0.5899,-0.3901,l,12
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,-0.0628,-0.0111,0.0399,l,12
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0424,0.1317,-0.033,l,12
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.6124,-0.9999,0.6122,l,6
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.032,0.011,0.1883,l,6
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0384,0.1029,-0.0819,l,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.7865,0.047,0.2243,norev,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.9036,0.1256,0.2669,norev,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.8996,0.1166,0.2758,norev,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.8445,0.1159,0.2656,norev,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.9148,0.1011,0.2477,norev,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.9,0.1393,0.3057,norev,24
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.371,0.0951,0.1682,norev,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.8569,0.0403,0.2982,norev,12
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.8714,0.1194,0.3293,norev,12
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.2306,0.2329,0.1738,norev,6
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.5805,-0.0004,0.2967,norev,6
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.8825,0.116,0.3108,norev,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.7162,0.0871,-0.0769,s,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.8651,0.1214,0.2044,s,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.892,0.0709,0.2894,s,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.3917,0.2058,0.2568,s,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.8711,0.138,0.2566,s,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.8937,0.0182,0.298,s,24
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.3596,0.0523,0.0813,s,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.6525,0.0218,0.2635,s,12
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.8556,0.039,0.2983,s,12
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,-0.1742,0.3295,0.1536,s,6
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.5517,0.0533,0.3097,s,6
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.696,0.0947,0.1652,s,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.4753,0.1865,0.3401,m,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.8322,0.2134,0.2995,m,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.8187,-0.136,0.1067,m,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.2417,0.1592,0.0614,m,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.8087,0.1336,0.2625,m,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.8675,0.1595,0.3209,m,24
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.0294,0.2579,0.3046,m,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.6178,0.1006,0.3289,m,12
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.8534,0.1513,0.3454,m,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.3216,0.2585,0.46,m,6
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.6331,0.0218,0.2972,m,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.2891,0.1038,0.1023,l,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.5429,0.1221,0.2173,l,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.8367,0.1659,0.3673,l,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.2779,0.2427,-0.0318,l,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.5395,0.1352,0.1306,l,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.7966,0.2556,0.4298,l,24
