composer,title,split,model,recording,p_no,r_no,f_no,reverb,snr
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0,0.0,0.0,l,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0027,0.001,0.0014,l,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.1458,0.0996,0.1184,l,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.0,0.0,0.0,l,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.0,0.0,0.0,l,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.0194,0.0065,0.0097,l,6
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0063,0.0067,0.0065,norev,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0054,0.0052,0.0053,norev,nonoise
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0049,0.0045,0.0047,norev,nonoise
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0039,0.0037,0.0038,norev,24
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0062,0.006,0.0061,norev,24
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0049,0.0045,0.0047,norev,24
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0058,0.003,0.0039,norev,12
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.003,0.0022,0.0025,norev,12
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0049,0.0045,0.0047,norev,12
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0,0.0,0.0,norev,6
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0016,0.0007,0.001,norev,6
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.005,0.0045,0.0047,norev,6
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0027,0.0037,0.0031,s,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0075,0.0082,0.0078,s,nonoise
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0065,0.006,0.0062,s,nonoise
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0026,0.0022,0.0024,s,24
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0058,0.006,0.0059,s,24
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0072,0.0067,0.0069,s,24
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0,0.0,0.0,s,12
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0014,0.0007,0.001,s,12
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0064,0.006,0.0062,s,12
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0,0.0,0.0,s,6
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0,0.0,0.0,s,6
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0027,0.0022,0.0025,s,6
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0022,0.006,0.0032,m,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0019,0.003,0.0023,m,nonoise
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0042,0.0037,0.004,m,nonoise
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0044,0.0037,0.004,m,24
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0008,0.0007,0.0008,m,24
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0067,0.006,0.0063,m,24
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0,0.0,0.0,m,12
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0063,0.0015,0.0024,m,12
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0061,0.0052,0.0056,m,12
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0,0.0,0.0,m,6
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0,0.0,0.0,m,6
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0035,0.0022,0.0027,m,6
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0024,0.0082,0.0037,l,nonoise
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0011,0.003,0.0017,l,nonoise
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0049,0.0045,0.0047,l,nonoise
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0017,0.0015,0.0016,l,24
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0025,0.003,0.0027,l,24
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0071,0.0067,0.0069,l,24
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0,0.0,0.0,l,12
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0,0.0,0.0,l,12
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.0041,0.0037,0.0039,l,12
Rachmaninoff,Preludes_op_23_4,train,T5,disklavier,0.0,0.0,0.0,l,6
Rachmaninoff,Preludes_op_23_4,train,kong,disklavier,0.0122,0.0007,0.0014,l,6
Rachmaninoff,Preludes_op_23_4,train,oaf,disklavier,0.004,0.0022,0.0029,l,6
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.4357,0.4511,0.4433,norev,nonoise
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.5933,0.6078,0.6005,norev,nonoise
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.5211,0.4925,0.5064,norev,nonoise
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.4844,0.4436,0.4631,norev,24
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.5684,0.563,0.5657,norev,24
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.4996,0.4735,0.4862,norev,24
Schubert,Piano_Sonatas_664-1,test,T5,disklavier,0.011,0.0058,0.0076,norev,12
Schubert,Piano_Sonatas_664-1,test,kong,disklavier,0.474,0.4192,0.4449,norev,12
Schubert,Piano_Sonatas_664-1,test,oaf,disklavier,0.4747,0.4519,0.463,norev,12
