composer,title,split,model,recording,cd_corr,cm_corr,ts_corr,reverb,snr
Chopin,Scherzos_31,train,kong,disklavier,0.5959,0.2304,-0.7026,s,24
Chopin,Scherzos_31,train,oaf,disklavier,0.75,0.2215,0.83,s,24
Chopin,Scherzos_31,train,T5,disklavier,0.3027,0.0699,0.1122,s,12
Chopin,Scherzos_31,train,kong,disklavier,0.411,0.0653,-0.2936,s,12
Chopin,Scherzos_31,train,oaf,disklavier,0.701,0.2018,0.7811,s,12
Chopin,Scherzos_31,train,T5,disklavier,0.2244,0.0664,0.2368,s,6
Chopin,Scherzos_31,train,kong,disklavier,0.411,0.0926,0.1226,s,6
Chopin,Scherzos_31,train,oaf,disklavier,0.6104,0.2018,0.5593,s,6
Chopin,Scherzos_31,train,T5,disklavier,0.1881,0.0969,0.4932,m,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.5958,0.2003,0.7607,m,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.74,0.184,0.8064,m,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.3143,0.0461,0.0303,m,24
Chopin,Scherzos_31,train,kong,disklavier,0.4865,0.0944,-0.1981,m,24
Chopin,Scherzos_31,train,oaf,disklavier,0.7213,0.2089,0.8059,m,24
Chopin,Scherzos_31,train,T5,disklavier,0.2735,0.0367,-0.0842,m,12
Chopin,Scherzos_31,train,kong,disklavier,0.4574,0.0602,0.2722,m,12
Chopin,Scherzos_31,train,oaf,disklavier,0.3162,0.053,-0.5475,m,12
Chopin,Scherzos_31,train,T5,disklavier,0.1384,0.0233,-0.0407,m,6
Chopin,Scherzos_31,train,kong,disklavier,0.3674,0.0578,0.157,m,6
Chopin,Scherzos_31,train,oaf,disklavier,0.2225,0.0829,-0.0844,m,6
Chopin,Scherzos_31,train,T5,disklavier,0.0035,0.0803,0.1257,l,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.4243,0.1279,0.5623,l,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.6776,0.1636,0.7143,l,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.269,0.0329,0.0869,l,24
Chopin,Scherzos_31,train,kong,disklavier,0.4879,0.0406,0.4438,l,24
Chopin,Scherzos_31,train,oaf,disklavier,0.6535,0.1692,0.7128,l,24
Chopin,Scherzos_31,train,T5,disklavier,0.1582,0.0696,0.0654,l,12
Chopin,Scherzos_31,train,kong,disklavier,0.4631,0.0158,0.2257,l,12
Chopin,Scherzos_31,train,oaf,disklavier,0.6049,0.1335,0.6868,l,12
Chopin,Scherzos_31,train,T5,disklavier,0.0971,0.028,0.0624,l,6
Chopin,Scherzos_31,train,kong,disklavier,0.3222,0.0371,0.0894,l,6
Chopin,Scherzos_31,train,oaf,disklavier,0.2691,-0.0026,-0.3992,l,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.6607,0.2892,0.6491,norev,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.9535,0.6085,0.8687,norev,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.9372,0.5794,0.8063,norev,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.5251,0.2164,0.2304,norev,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.8386,0.3295,0.5668,norev,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.933,0.5843,0.8737,norev,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.3621,0.1415,0.0196,norev,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.7068,0.258,0.2592,norev,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.8437,0.3252,0.6145,norev,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.3345,0.1816,-0.1012,norev,6
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.5098,0.1678,0.0119,norev,6
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.7876,0.3131,0.48,norev,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.5638,0.2316,0.6451,s,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.7606,0.2236,0.5513,s,nonoise
