composer,title,split,performer,model,recording,p_no,r_no,f_no
Bach,Fugue_bwv_848,train,Lin04M,kong,disklavier,0.9429,0.9476,0.9452
Bach,Fugue_bwv_848,train,Lou01M,kong,maestro,0.949,0.947,0.948
Bach,Fugue_bwv_848,train,Lou01M,T5,maestro,0.0498,0.0495,0.0497
Bach,Fugue_bwv_848,train,Lou01M,oaf,maestro,0.8161,0.8081,0.8121
Bach,Fugue_bwv_848,train,Lou01M,kong,disklavier,0.9424,0.9484,0.9454
Bach,Fugue_bwv_848,train,Lou01M,T5,disklavier,0.8392,0.8667,0.8527
Bach,Fugue_bwv_848,train,Lou01M,oaf,disklavier,0.927,0.9218,0.9244
Bach,Fugue_bwv_848,train,MiyashitaM01M,oaf,maestro,0.8734,0.8637,0.8685
Bach,Fugue_bwv_848,train,MiyashitaM01M,T5,maestro,0.0903,0.0897,0.09
Bach,Fugue_bwv_848,train,MiyashitaM01M,kong,maestro,0.9804,0.9764,0.9784
Bach,Fugue_bwv_848,train,MiyashitaM01M,kong,disklavier,0.9343,0.9395,0.9369
Bach,Fugue_bwv_848,train,MiyashitaM01M,T5,disklavier,0.823,0.8505,0.8365
Bach,Fugue_bwv_848,train,MiyashitaM01M,oaf,disklavier,0.6872,0.6829,0.685
Bach,Fugue_bwv_848,train,Mizumoto03M,kong,maestro,0.9686,0.9659,0.9673
Bach,Fugue_bwv_848,train,Mizumoto03M,T5,maestro,0.0645,0.0639,0.0642
Bach,Fugue_bwv_848,train,Mizumoto03M,oaf,maestro,0.8209,0.8124,0.8166
Bach,Fugue_bwv_848,train,Mizumoto03M,oaf,disklavier,0.6779,0.6699,0.6739
Bach,Fugue_bwv_848,train,Mizumoto03M,T5,disklavier,0.8101,0.827,0.8184
Bach,Fugue_bwv_848,train,Mizumoto03M,kong,disklavier,0.9355,0.9472,0.9413
Bach,Fugue_bwv_848,train,SunY01M,kong,maestro,0.9685,0.9658,0.9671
Bach,Fugue_bwv_848,train,SunY01M,oaf,maestro,0.8123,0.8043,0.8083
Bach,Fugue_bwv_848,train,SunY01M,T5,maestro,0.031,0.0307,0.0309
Bach,Fugue_bwv_848,train,SunY01M,kong,disklavier,0.9194,0.9252,0.9223
Bach,Fugue_bwv_848,train,SunY01M,oaf,disklavier,0.6751,0.6695,0.6723
Bach,Fugue_bwv_848,train,SunY01M,T5,disklavier,0.6878,0.7589,0.7216
Bach,Fugue_bwv_848,train,Zhou01M,kong,maestro,0.9706,0.9699,0.9703
Bach,Fugue_bwv_848,train,Zhou01M,oaf,maestro,0.8305,0.8259,0.8282
Bach,Fugue_bwv_848,train,Zhou01M,T5,maestro,0.0963,0.0958,0.096
Bach,Fugue_bwv_848,train,Zhou01M,T5,disklavier,0.8281,0.8587,0.8431
Bach,Fugue_bwv_848,train,Zhou01M,oaf,disklavier,0.6231,0.6196,0.6213
Bach,Fugue_bwv_848,train,Zhou01M,kong,disklavier,0.9529,0.9629,0.9579
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,T5,maestro,0.8911,0.8657,0.8782
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,kong,maestro,0.9011,0.8925,0.8968
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,oaf,maestro,0.8213,0.8024,0.8117
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,T5,disklavier,0.7502,0.7539,0.752
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,kong,disklavier,0.8459,0.8445,0.8452
Beethoven,Piano_Sonatas_21-1,train,GonzalezJ06M,oaf,disklavier,0.7341,0.7158,0.7248
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,T5,maestro,0.8928,0.8694,0.8809
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,kong,maestro,0.9215,0.9189,0.9202
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,oaf,maestro,0.5822,0.5732,0.5776
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,oaf,disklavier,0.7865,0.7764,0.7814
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,kong,disklavier,0.8276,0.8382,0.8329
Beethoven,Piano_Sonatas_21-1,train,KimSY02M,T5,disklavier,0.7042,0.7332,0.7184
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,T5,maestro,0.9135,0.8975,0.9054
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,oaf,maestro,0.8055,0.794,0.7997
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,kong,maestro,0.948,0.943,0.9455
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,oaf,disklavier,0.6642,0.6468,0.6554
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,kong,disklavier,0.8142,0.8222,0.8181
Beethoven,Piano_Sonatas_21-1,train,LeeN02M,T5,disklavier,0.6171,0.6664,0.6408
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,T5,maestro,0.8996,0.8784,0.8889
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,oaf,maestro,0.7161,0.6988,0.7073
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,kong,maestro,0.9189,0.9091,0.914
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,oaf,disklavier,0.2639,0.2549,0.2593
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,kong,disklavier,0.7881,0.7895,0.7888
Beethoven,Piano_Sonatas_21-1,train,RichardsonC02M,T5,disklavier,0.6657,0.691,0.6781
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,kong,maestro,0.914,0.9079,0.9109
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,oaf,maestro,0.6436,0.6329,0.6382
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,T5,maestro,0.8483,0.8333,0.8407
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,oaf,disklavier,0.5977,0.5834,0.5905
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,T5,disklavier,0.6875,0.7213,0.704
Beethoven,Piano_Sonatas_21-1,train,Shychko02M,kong,disklavier,0.8621,0.8721,0.8671
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,oaf,maestro,0.6448,0.6348,0.6398
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,kong,maestro,0.9163,0.9117,0.914
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,T5,maestro,0.8849,0.8619,0.8732
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,kong,disklavier,0.8356,0.8434,0.8395
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,oaf,disklavier,0.8028,0.7834,0.793
Beethoven,Piano_Sonatas_21-1,train,Sladek02M,T5,disklavier,0.6961,0.7148,0.7054
Beethoven,Piano_Sonatas_21-1,train,Song03M,oaf,maestro,0.5704,0.5639,0.5671
Beethoven,Piano_Sonatas_21-1,train,Song03M,kong,maestro,0.8775,0.8742,0.8759
Beethoven,Piano_Sonatas_21-1,train,Song03M,T5,maestro,0.8629,0.8526,0.8577
Beethoven,Piano_Sonatas_21-1,train,Song03M,oaf,disklavier,0.799,0.7786,0.7887
