composer,title,split,performer,model,recording,melody_ioi_corr,acc_ioi_corr,ratio_ioi_corr,melody_ioi_dtw_dist,acc_ioi_dtw_dist,melody_ioi_hist_kld,acc_ioi_hist_kld
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,T5,maestro,0.6272,0.4033,0.0,7458.0,13985.0,1.5383,0.0693
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,oaf,maestro,0.26,0.0751,0.0,801.0,2897.0,1.3255,5.8284
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,kong,maestro,0.4951,0.3028,0.0,505.0,1720.0,1.086,0.1254
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,kong,disklavier,0.7547,0.124,0.0,631.0,3058.0,1.7226,0.8202
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,oaf,disklavier,0.5327,0.2953,0.0,918.0,3894.0,1.2303,5.0571
Schubert,Impromptu_op.90_D.899_4,test,WongWY08M,T5,disklavier,0.3008,0.1303,0.0,3808.0,17616.0,2.4331,0.7929
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,oaf,maestro,0.0561,0.0146,0.0,862.0,2793.0,0.1756,4.0861
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,kong,maestro,0.4348,0.2212,0.0,431.0,1761.0,0.2046,0.1165
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,T5,maestro,0.0905,0.308,0.0,2106.0,6317.0,0.2361,0.0817
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,T5,disklavier,0.1191,0.3041,0.0,3439.0,10852.0,0.9138,1.4028
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,kong,disklavier,0.4821,0.3325,0.0,912.0,3819.0,0.8257,1.5382
Schubert,Piano_Sonatas_664-1,test,BuiJL06M,oaf,disklavier,0.4255,0.5286,0.0,983.0,4346.0,0.2111,2.0004
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,T5,maestro,0.0753,0.462,0.0,2797.0,9528.0,0.7475,0.1143
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,oaf,maestro,0.0417,0.0383,0.0,1081.0,3324.0,0.6099,4.33
Schubert,Piano_Sonatas_664-1,test,KabuliL10M,kong,maestro,0.3557,0.3198,0.0,794.0,2273.0,0.1953,0.2248
