composer,title,split,model,recording,melody_ioi_corr,acc_ioi_corr,ratio_ioi_corr,melody_ioi_dtw_dist,acc_ioi_dtw_dist,melody_ioi_hist_kld,acc_ioi_hist_kld,reverb,snr
Chopin,Scherzos_31,train,oaf,disklavier,0.2002,0.1936,0.0,1912.0,7124.0,3.3206,6.607,s,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.0581,0.2625,0.0,6505.0,34283.0,1.9256,0.5671,s,24
Chopin,Scherzos_31,train,kong,disklavier,0.253,0.2577,0.0,2407.0,9617.0,1.6128,0.5188,s,24
Chopin,Scherzos_31,train,oaf,disklavier,0.2747,0.2011,0.0,2165.0,7187.0,3.3355,6.5927,s,24
Chopin,Scherzos_31,train,T5,disklavier,0.1364,0.1307,0.0,8446.0,36605.0,4.0437,0.6692,s,12
Chopin,Scherzos_31,train,kong,disklavier,0.1871,0.2244,0.0,3633.0,13668.0,2.2238,0.8664,s,12
Chopin,Scherzos_31,train,oaf,disklavier,0.2398,0.2149,0.0,2325.0,8492.0,3.3181,6.5745,s,12
Chopin,Scherzos_31,train,T5,disklavier,0.1017,0.1033,0.0,7247.0,40892.0,nan,5.6332,s,6
Chopin,Scherzos_31,train,kong,disklavier,0.1164,0.1766,0.0,3744.0,16016.0,4.3364,2.9148,s,6
Chopin,Scherzos_31,train,oaf,disklavier,0.2457,0.2578,0.0,3239.0,11449.0,3.4172,6.5473,s,6
Chopin,Scherzos_31,train,T5,disklavier,0.073,0.2117,0.0,7642.0,46699.0,0.9817,0.4036,m,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.1396,0.178,0.0,2898.0,16930.0,2.0239,0.44,m,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.2081,0.1843,0.0,2234.0,8889.0,3.3978,6.5478,m,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.1908,0.1876,0.0,7530.0,51720.0,0.9812,0.3321,m,24
Chopin,Scherzos_31,train,kong,disklavier,0.1804,0.2548,0.0,3370.0,16481.0,1.9249,0.7063,m,24
Chopin,Scherzos_31,train,oaf,disklavier,0.1755,0.1833,0.0,2247.0,9687.0,3.4144,6.5237,m,24
Chopin,Scherzos_31,train,T5,disklavier,0.1443,0.1914,0.0,10810.0,142175.0,nan,4.6165,m,12
Chopin,Scherzos_31,train,kong,disklavier,0.1269,0.192,0.0,3987.0,16545.0,5.2182,2.1731,m,12
Chopin,Scherzos_31,train,oaf,disklavier,0.1912,0.2227,0.0,5263.0,19602.0,4.0876,6.6704,m,12
Chopin,Scherzos_31,train,T5,disklavier,0.0224,0.1179,0.0,7406.0,183330.0,nan,6.0054,m,6
Chopin,Scherzos_31,train,kong,disklavier,0.1534,0.163,0.0,3800.0,16563.0,5.4849,6.2609,m,6
Chopin,Scherzos_31,train,oaf,disklavier,0.0976,0.1139,0.0,5659.0,21040.0,3.7854,6.8318,m,6
Chopin,Scherzos_31,train,T5,disklavier,0.0777,0.2045,0.0,9657.0,186706.0,3.1093,0.487,l,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.2337,0.1252,0.0,8001.0,82832.0,2.0983,0.3829,l,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.1524,0.2029,0.0,4335.0,28102.0,3.5686,6.5292,l,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.1266,0.2229,0.0,10224.0,114753.0,1.4544,0.2587,l,24
Chopin,Scherzos_31,train,kong,disklavier,0.1598,0.257,0.0,5125.0,36714.0,3.6025,0.5591,l,24
