composer,title,split,model,recording,melody_ioi_corr,acc_ioi_corr,ratio_ioi_corr,melody_ioi_dtw_dist,acc_ioi_dtw_dist,melody_ioi_hist_kld,acc_ioi_hist_kld,reverb,snr
Chopin,Scherzos_31,train,T5,disklavier,-0.0786,0.0668,0.0,7393.0,183330.0,16.0087,16.387,m,6
Chopin,Scherzos_31,train,kong,disklavier,-0.0076,0.0746,0.0,3789.0,16564.0,6.8972,4.8858,m,6
Chopin,Scherzos_31,train,oaf,disklavier,0.0649,0.0183,0.0,5659.0,21038.0,2.1629,4.538,m,6
Chopin,Scherzos_31,train,T5,disklavier,-0.0084,0.1392,0.0,9657.0,186706.0,2.8571,1.6301,l,nonoise
Chopin,Scherzos_31,train,kong,disklavier,0.2605,0.2678,0.0,8003.0,82832.0,2.2069,0.9453,l,nonoise
Chopin,Scherzos_31,train,oaf,disklavier,0.4701,0.5472,0.0,4391.0,28102.0,1.1887,4.7361,l,nonoise
Chopin,Scherzos_31,train,T5,disklavier,0.0782,0.06,0.0,10222.0,114753.0,7.037,1.7856,l,24
Chopin,Scherzos_31,train,kong,disklavier,0.2656,0.2418,0.0,5127.0,36714.0,2.7101,0.936,l,24
Chopin,Scherzos_31,train,oaf,disklavier,0.4839,0.5469,0.0,4388.0,27259.0,0.8736,4.7748,l,24
Chopin,Scherzos_31,train,T5,disklavier,-0.3492,0.0174,0.0,9302.0,98802.0,16.476,7.8461,l,12
Chopin,Scherzos_31,train,kong,disklavier,0.2976,0.2054,0.0,4185.0,21912.0,5.5766,1.3139,l,12
Chopin,Scherzos_31,train,oaf,disklavier,0.3541,0.4632,0.0,5980.0,32002.0,1.4809,4.5766,l,12
Chopin,Scherzos_31,train,T5,disklavier,0.2056,0.0504,0.0,11520.0,177808.0,15.9989,15.2438,l,6
Chopin,Scherzos_31,train,kong,disklavier,0.1979,0.1564,0.0,3824.0,17502.0,4.4605,2.0898,l,6
Chopin,Scherzos_31,train,oaf,disklavier,0.0125,0.0576,0.0,7275.0,38668.0,2.0848,4.5065,l,6
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.206,0.5712,0.0,6635.0,37098.0,1.2724,0.0458,norev,nonoise
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.5984,0.5525,0.0,1187.0,6538.0,0.4855,0.137,norev,nonoise
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.449,0.1945,0.0,1842.0,8802.0,1.6907,5.4405,norev,nonoise
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.169,0.3311,0.0,8824.0,54801.0,1.3582,0.0582,norev,24
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.5914,0.3283,0.0,2080.0,11007.0,1.6781,0.1372,norev,24
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.4824,0.258,0.0,1927.0,9542.0,1.7442,5.3701,norev,24
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.1502,0.0433,0.0,7691.0,44948.0,3.9702,0.0522,norev,12
Liszt,Transcendental_Etudes_11,test,kong,maestro,0.3036,0.1032,0.0,3647.0,19961.0,0.9609,0.2438,norev,12
Liszt,Transcendental_Etudes_11,test,oaf,maestro,0.4973,0.129,0.0,2416.0,12163.0,1.9899,5.4394,norev,12
Liszt,Transcendental_Etudes_11,test,T5,maestro,0.2051,-0.0306,0.0,7366.0,63728.0,8.4398,0.4267,norev,6
