composer,title,split,performer,model,recording,p_f,r_f,f_f
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,kong,maestro,0.9356,0.9742,0.9545
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,T5,disklavier,0.5042,0.7353,0.5982
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,oaf,disklavier,0.8918,0.8987,0.8953
Beethoven,Piano_Sonatas_21-1,train,YeZ02M,kong,disklavier,0.9103,0.9108,0.9106
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,T5,maestro,0.6667,0.9597,0.7868
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,oaf,maestro,0.7723,0.884,0.8244
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,kong,maestro,0.8949,0.952,0.9226
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,oaf,disklavier,0.8419,0.7742,0.8066
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,T5,disklavier,0.5493,0.6149,0.5802
Beethoven,Piano_Sonatas_21-1,train,ZhangW01M,kong,disklavier,0.8624,0.786,0.8224
Chopin,Scherzos_31,train,ChenW04M,T5,maestro,0.701,0.941,0.8034
Chopin,Scherzos_31,train,ChenW04M,kong,maestro,0.9156,0.9656,0.9399
Chopin,Scherzos_31,train,ChenW04M,oaf,maestro,0.9234,0.9322,0.9278
Chopin,Scherzos_31,train,ChenW04M,kong,disklavier,0.8872,0.8805,0.8838
Chopin,Scherzos_31,train,ChenW04M,oaf,disklavier,0.9399,0.8484,0.8918
Chopin,Scherzos_31,train,ChenW04M,T5,disklavier,0.5212,0.6623,0.5834
Chopin,Scherzos_31,train,HuNY08M,kong,maestro,0.9222,0.966,0.9436
Chopin,Scherzos_31,train,HuNY08M,oaf,maestro,0.9171,0.9533,0.9349
Chopin,Scherzos_31,train,HuNY08M,T5,maestro,0.6553,0.9569,0.7779
Chopin,Scherzos_31,train,HuNY08M,kong,disklavier,0.8943,0.885,0.8896
Chopin,Scherzos_31,train,HuNY08M,oaf,disklavier,0.9323,0.8657,0.8977
Chopin,Scherzos_31,train,HuNY08M,T5,disklavier,0.5021,0.675,0.5758
Chopin,Scherzos_31,train,Jussow11M,oaf,maestro,0.9252,0.9372,0.9311
Chopin,Scherzos_31,train,Jussow11M,kong,maestro,0.9401,0.9694,0.9545
Chopin,Scherzos_31,train,Jussow11M,T5,maestro,0.7305,0.9512,0.8264
Chopin,Scherzos_31,train,Jussow11M,kong,disklavier,0.9154,0.8796,0.8972
Chopin,Scherzos_31,train,Jussow11M,oaf,disklavier,0.949,0.8405,0.8915
Chopin,Scherzos_31,train,Jussow11M,T5,disklavier,0.4994,0.6664,0.571
Chopin,Scherzos_31,train,LeeN04M,kong,maestro,0.9359,0.9708,0.953
Chopin,Scherzos_31,train,LeeN04M,T5,maestro,0.8026,0.9671,0.8772
Chopin,Scherzos_31,train,LeeN04M,oaf,maestro,0.9286,0.9485,0.9385
Chopin,Scherzos_31,train,LeeN04M,kong,disklavier,0.9159,0.8697,0.8922
Chopin,Scherzos_31,train,LeeN04M,oaf,disklavier,0.9559,0.8409,0.8947
Chopin,Scherzos_31,train,LeeN04M,T5,disklavier,0.5782,0.6417,0.6083
Chopin,Scherzos_31,train,LinTami06M,kong,maestro,0.9088,0.9628,0.935
Chopin,Scherzos_31,train,LinTami06M,oaf,maestro,0.9101,0.9353,0.9225
Chopin,Scherzos_31,train,LinTami06M,T5,maestro,0.6614,0.9409,0.7768
Chopin,Scherzos_31,train,LinTami06M,kong,disklavier,0.9186,0.8584,0.8874
